customer_id,revenue,orders,units_purchased,unique_products,first_purchase,last_purchase,country,average_order_value,revenue_rank
14646,280206.02,73,196915,700,2010-12-20 10:09:00,2011-12-08 12:12:00,Netherlands,3838.4386301369864,1
18102,259657.3,60,64124,150,2010-12-07 16:42:00,2011-12-09 11:50:00,United Kingdom,4327.621666666667,2
17450,194390.79,46,69973,124,2010-12-07 09:23:00,2011-12-01 13:29:00,United Kingdom,4225.886739130435,3
16446,168472.5,2,80997,3,2011-05-18 09:52:00,2011-12-09 09:15:00,United Kingdom,84236.25,4
14911,143711.17,201,80240,1787,2010-12-01 14:05:00,2011-12-08 15:54:00,EIRE,714.980945273632,5
12415,124914.53,21,77374,444,2011-01-06 11:12:00,2011-11-15 14:22:00,Australia,5948.310952380953,6
14156,117210.08,55,57768,714,2010-12-03 11:48:00,2011-11-30 10:54:00,EIRE,2131.0923636363636,7
17511,91062.38,31,64549,453,2010-12-01 10:19:00,2011-12-07 10:12:00,United Kingdom,2937.496129032258,8
16029,80850.84,63,40108,44,2010-12-01 09:57:00,2011-11-01 10:27:00,United Kingdom,1283.3466666666666,9
12346,77183.6,1,74215,1,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,77183.6,10
16684,66653.56,28,50255,119,2010-12-16 17:34:00,2011-12-05 14:06:00,United Kingdom,2380.4842857142858,11
14096,65164.79,17,16352,1119,2011-08-30 10:49:00,2011-12-05 17:17:00,United Kingdom,3833.2229411764706,12
13694,65039.62,50,63312,366,2010-12-01 12:12:00,2011-12-06 09:32:00,United Kingdom,1300.7924,13
15311,60632.75,91,38147,567,2010-12-01 09:41:00,2011-12-09 12:00:00,United Kingdom,666.2939560439561,14
13089,58762.08,97,31025,636,2010-12-05 10:27:00,2011-12-07 09:02:00,United Kingdom,605.7946391752578,15
17949,58510.48,45,30546,29,2010-12-03 13:12:00,2011-12-08 18:46:00,United Kingdom,1300.232888888889,16
15769,56252.72,26,29672,26,2010-12-03 15:16:00,2011-12-02 13:52:00,United Kingdom,2163.566153846154,17
15061,54534.14,48,28920,70,2010-12-02 15:19:00,2011-12-06 12:06:00,United Kingdom,1136.1279166666666,18
14298,51527.3,44,58343,884,2010-12-14 12:59:00,2011-12-01 13:12:00,United Kingdom,1171.075,19
14088,50491.81,13,12665,379,2011-01-21 13:07:00,2011-11-29 16:16:00,United Kingdom,3883.9853846153846,20
15749,44534.3,3,18028,5,2011-01-11 12:55:00,2011-04-18 13:20:00,United Kingdom,14844.766666666668,21
12931,42055.96,15,28004,28,2010-12-17 09:45:00,2011-11-18 12:39:00,United Kingdom,2803.730666666667,22
17841,40519.84,124,22834,1323,2010-12-01 14:41:00,2011-12-08 12:07:00,United Kingdom,326.77290322580643,23
15098,39916.5,3,121,1,2011-06-10 15:22:00,2011-06-10 15:33:00,United Kingdom,13305.5,24
13798,37153.85,57,23948,113,2010-12-02 17:24:00,2011-12-08 15:51:00,United Kingdom,651.8219298245614,25
16013,37130.6,47,15536,30,2010-12-03 13:09:00,2011-12-06 10:36:00,United Kingdom,790.0127659574467,26
