stock_code,description,revenue,units_sold,orders,customers,average_selling_price,revenue_share_pct,revenue_rank,cumulative_revenue_pct
DOT,DOTCOM POSTAGE,206248.77,706,706,1,292.13706798866855,1.938043812910482,1,1.938043812910482
22423,REGENCY CAKESTAND 3 TIER,174156.54,13851,1988,881,12.573571583279186,1.636484934309654,2,3.5745287472201364
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1,2.08,1.5830468513509377,3,5.157575598571074
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104284.24,37580,2189,856,2.774993081426291,0.9799206371803907,4,6.137496235751465
47566,PARTY BUNTING,99445.23,18283,1685,708,5.439218399606191,0.9344502404788154,5,7.07194647623028
85099B,JUMBO BAG RED RETROSPOT,94159.81,48371,2089,635,1.9466169812490954,0.8847850932411696,6,7.956731569471449
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,138,1.047004728768598,0.7677134875281646,7,8.724445056999613
POST,POSTAGE,78101.88,3150,1126,331,24.79424761904762,0.7338946327324858,8,9.4583396897321
M,Manual,77750.27,6984,289,197,11.132627434135166,0.7305906829195611,9,10.188930372651662
23084,RABBIT NIGHT LIGHT,66870.03,30739,994,450,2.1754133185855102,0.6283530704723153,10,10.817283443123976
22086,PAPER CHAIN KIT 50'S CHRISTMAS,64875.590000000004,19329,1160,613,3.356386258989084,0.6096120515454088,11,11.426895494669385
84879,ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362,1455,678,1.6205824762114296,0.5537211657094488,12,11.980616660378836
79321,CHILLI LIGHTS,54096.36,10302,661,205,5.251054164239953,0.508323592906654,13,12.488940253285492
23298,SPOTTY BUNTING,42513.48,8320,1140,571,5.10979326923077,0.399483530880177,14,12.888423784165667
22386,JUMBO BAG PINK POLKADOT,42401.01,21448,1218,372,1.9769213912719135,0.3984266916678121,15,13.286850475833479
21137,BLACK RECORD COVER FRAME,40633.38,11651,375,140,3.4875444167882583,0.3818169228676638,16,13.668667398701142
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,1,649.5,0.37228986551341303,17,14.040957264214555
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487,728,378,6.949815928558411,0.35832778574027707,18,14.399285049954832
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7483,1385,640,5.09272885206468,0.3580952190957849,19,14.757380269050616
22960,JAM MAKING SET WITH JARS,37082.13,8695,1132,573,4.264764807360551,0.34844713312007713,20,15.105827402170691
82484,WOOD BLACK BOARD ANT WHITE FINISH,35966.92,6012,685,285,5.982521623419827,0.3379679150350631,21,15.443795317205755
20725,LUNCH BAG RED RETROSPOT,35572.36,19232,1564,532,1.8496443427620632,0.33426037987341367,22,15.778055697079168
22197,POPCORN HOLDER,34288.67,36749,803,295,0.9330504231407657,0.32219801721207486,23,16.10025371429124
22178,VICTORIAN GLASS HANGING T-LIGHT,33146.82,24275,1037,403,1.365471472708548,0.3114684728478983,24,16.41172218713914
22114,HOT WATER BOTTLE TEA AND SYMPATHY,32973.44,5740,643,325,5.7445017421602795,0.3098392847742802,25,16.72156147191342
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,32843.840000000004,10594,820,470,3.1002303190485185,0.3086214812540304,26,17.030182953167454
22112,CHOCOLATE HOT WATER BOTTLE,32826.58,6017,858,382,5.455639022768822,0.3084592953839724,27,17.338642248551427
85099F,JUMBO BAG STRAWBERRY,32495.59,17237,812,315,1.8852230666589314,0.3053491041249639,28,17.64399135267639
22469,HEART OF WICKER SMALL,32094.6,17963,1201,573,1.7867060067917384,0.30158114861890695,29,17.9455725012953
23245,SET OF 3 REGENCY CAKE TINS,31118.550000000003,6345,873,472,4.904420803782506,0.29240956585702543,30,18.237982067152323
21931,JUMBO STORAGE BAG SUKI,30764.010000000002,13651,1184,333,2.25360852684785,0.28907808391204565,31,18.52706015106437
22727,ALARM CLOCK BAKELIKE RED,30644.87,7800,1051,388,3.928829487179487,0.28795856916356904,32,18.81501872022794
23199,JUMBO BAG APPLES,30450.690000000002,14908,978,344,2.0425737858867725,0.2861339311422565,33,19.101152651370196
22470,HEART OF WICKER LARGE,30098.110000000004,9887,925,485,3.044210579548903,0.2828208665961941,34,19.38397351796639
22355,CHARLOTTE BAG SUKI DESIGN,29254.15,18124,882,249,1.614111123372324,0.2748904849684931,35,19.658864002934884
22699,ROSES REGENCY TEACUP AND SAUCER,29056.920000000002,9864,1065,423,2.945754257907543,0.27303718721927334,36,19.931901190154157
23355,HOT WATER BOTTLE KEEP CALM,28718.8,5816,782,474,4.937895460797799,0.269859997973387,37,20.20176118812754
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,28577.1,12574,1175,375,2.272713535867663,0.2685284952047187,38,20.47028968333226
20685,DOORMAT RED RETROSPOT,28049.54,4088,696,329,6.861433463796478,0.26357120797367706,39,20.733860891305937
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28047.74,13900,933,306,2.0178230215827337,0.26355429403589586,40,20.997415185341836
22457,NATURAL SLATE HEART CHALKBOARD,27991.610000000004,9119,1249,587,3.069592060532954,0.2630268610760839,41,21.260442046417918
23201,JUMBO BAG ALPHABET,27850.83,13366,906,396,2.0837071674397727,0.2617040032089484,42,21.522146049626866
22726,ALARM CLOCK BAKELIKE GREEN,27155.28,6419,980,322,4.230453341642,0.2551681757513112,43,21.777314225378177
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,26425.579999999998,9461,449,192,2.793106436951696,0.24831145330743537,44,22.02562567868561
21915,RED  HARMONICA IN BOX,26294.08,21903,661,349,1.200478473268502,0.24707579618619427,45,22.27270147487181
22666,RECIPE BOX PANTRY YELLOW DESIGN,26219.95,8269,1111,471,3.1708731406457855,0.24637922384856983,46,22.51908069872038
21175,GIN + TONIC DIET METAL SIGN,25792.47,11709,759,330,2.202790161414297,0.24236235155816552,47,22.761443050278547
22629,SPACEBOY LUNCH BOX,25719.02,14249,900,322,1.804970173345498,0.24167216893036964,48,23.003115219208915
22961,JAM MAKING SET PRINTED,25637.78,16396,1162,537,1.5636606489387654,0.24090878653850928,49,23.244024005747423
48138,DOORMAT UNION FLAG,25534.15,3751,616,313,6.807291388962944,0.23993501355391447,50,23.483959019301338
21181,PLEASE ONE PERSON METAL SIGN,25225.480000000003,12274,845,361,2.0551963500081474,0.23703455512339355,51,23.72099357442473
23173,REGENCY TEAPOT ROSES,24879.13,2766,416,248,8.994624005784527,0.23378003159531843,52,23.954773606020048
21621,VINTAGE UNION JACK BUNTING,24525.83,2787,475,267,8.800082526013636,0.23046020147414356,53,24.185233807494193
23203,JUMBO BAG VINTAGE DOILY,24489.08,11448,711,363,2.139157931516422,0.23011487524444307,54,24.415348682738635
22111,SCOTTIE DOG HOT WATER BOTTLE,24455.39,4655,771,425,5.253574650912997,0.22979830270897073,55,24.645146985447607
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24436.260000000002,5966,834,393,4.095920214549112,0.22961854513688448,56,24.87476553058449
22326,ROUND SNACK BOXES SET OF4 WOODLAND,24364.870000000003,8535,732,281,2.8547006444053897,0.22894771957121599,57,25.103713250155707
